"Country letter code","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"MAC",446,"China, Macao SAR",26493,26887,27222,27464,27586,27591,27459,27257,27179,27478,28329,29766,31734,34212,37152,40491,44243,48351,52587,56665,60370,63623,66458,68936,71173,73261,75223,77049,78760,80361,81851,83198,84406,85563,86790,88173,89768,91523,93267,94763,95843,96441,96752,96776,96724,96747,96903,97151,97451,97724,97919,98005,98004,97960,97939,97970,98082,98211,98207,97872,97085,96061,94627,92872,90936,88931
"COL",170,"Colombia",2430826,2508448,2590327,2676750,2761900,2851748,2946221,3045221,3148901,3257439,3370840,3488954,3611346,3737350,3866117,3996866,4129191,4262661,4396438,4529611,4661451,4791498,4919519,5045322,5168795,5289786,5408095,5523466,5635656,5744426,5849625,5951017,6048612,6142813,6234199,6323139,6409797,6493903,6574854,6651817,6724208,6791782,6855774,6916229,6973239,7027056,7077389,7124713,7170953,7218655,7269555,7324656,7383248,7443246,7501542,7555841,7605375,7650804,7692972,7733355,7773078,7806212,7836560,7864016,7888368,7909442
"COM",174,"Comoros",34151,34719,35334,36048,36932,38028,39368,40922,42605,44298,45922,47318,48633,49903,51198,52565,54013,55529,57117,58778,60509,62309,64180,66133,68178,70321,72563,74892,77277,79680,82067,84431,86772,89090,91388,93671,95942,98201,100459,102717,104982,107257,109544,111814,114091,116390,118710,121047,123399,125766,128144,130528,132908,135273,137612,139914,142178,144396,146523,148511,150324,153747,157145,160559,164051,167665
"COG",178,"Congo",173129,177632,182438,187452,192539,197610,202627,207645,212801,218281,224220,230671,237601,244944,252599,260475,268586,276971,285653,294671,304055,313766,323802,334264,345288,356949,369370,382461,395835,408961,421496,433176,444199,455226,467191,480721,496120,513057,530755,548102,564307,579147,592770,605444,617773,630225,642860,655615,668682,682271,696517,711513,727216,743437,759906,776424,792917,809418,825962,842632,859493,884328,909987,936407,963508,991216
"COK",184,"Cook Islands",2421,2452,2436,2403,2353,2283,2189,2081,1972,1888,1841,1838,1869,1915,1952,1967,1955,1922,1879,1843,1823,1821,1833,1849,1854,1843,1812,1767,1718,1681,1661,1660,1675,1701,1727,1750,1768,1781,1794,1805,1819,1835,1852,1869,1885,1899,1910,1920,1930,1940,1953,1968,1987,2009,2039,2077,2125,2179,2241,2307,2377,2402,2429,2454,2473,2486
"CRI",188,"Costa Rica",209898,217855,226550,235908,244126,252647,261403,270417,279786,289648,300074,311098,322610,334373,346083,357527,368658,379545,390238,400838,411422,421936,432383,442950,453873,465278,477222,489555,501920,513851,525017,535272,544690,553435,561768,569862,577773,585394,592567,599066,604758,609602,613704,617256,620807,624874,629506,634676,640402,646685,653495,660857,668710,676833,684922,692737,700179,707246,713919,720219,726168,725670,724240,721895,718656,714574
"CIV",384,"Côte d'Ivoire",884073,918598,955461,994499,1035432,1078078,1122369,1168432,1216492,1259694,1304732,1351729,1400546,1450747,1501754,1553201,1604682,1656393,1709269,1764581,1823084,1884683,1948594,2013957,2079656,2144663,2209292,2273113,2333614,2387640,2433278,2469787,2498659,2523022,2547127,2574145,2604734,2638527,2676293,2718640,2765839,2818317,2875715,2936454,2998258,3059674,3120327,3180433,3239896,3298780,3357156,3414977,3472215,3528936,3585187,3640951,3696043,3750473,3804634,3859101,3914212,4009651,4107617,4207964,4310439,4414803
"HRV",191,"Croatia",718780,722918,725430,726804,727827,729077,730689,732500,734457,736436,738351,740154,741930,743894,746330,749407,753138,757327,761673,765750,769195,772061,769003,764816,758738,750289,739092,725509,710682,696200,683187,672051,662419,653696,644977,635637,625604,615170,604511,593902,583548,573459,563778,554606,546036,538106,530822,524110,517823,511770,505798,499868,493964,487986,481827,475416,468723,461774,454625,447361,440070,433443,426702,420019,413609,407629
"CUB",192,"Cuba",1337234,1351437,1367162,1384540,1403685,1424651,1447505,1472178,1498392,1525758,1553974,1582654,1611742,1641635,1672934,1705922,1740697,1776609,1812258,1845814,1875920,1902089,1924490,1943255,1958766,1971313,1980940,1987560,1991230,1991992,1989949,1984814,1976760,1966844,1956476,1946514,1937649,1929239,1919208,1904706,1883835,1855968,1822103,1783242,1742687,1702327,1662943,1624321,1586180,1547890,1509168,1469814,1430556,1393100,1359679,1331787,1310101,1293877,1281410,1270186,1258256,1248222,1236770,1223441,1207874,1189892
"CYP",196,"Cyprus",89080,90956,93163,95615,97564,99506,101446,103365,105106,106482,107386,107757,107690,107421,107263,107448,108025,108943,110192,111734,113531,115605,117941,120400,122802,125021,126976,128698,130321,132038,133971,136182,138582,140948,142988,144503,145412,145814,145924,146037,146366,146969,147712,148643,149633,150579,151467,152321,153138,153916,154657,155346,155966,156507,156958,157304,157561,157719,157725,157506,157024,155950,154543,152954,151394,150006
"CZE",203,"Czech Republic",1760546,1775014,1779125,1776406,1772371,1771057,1773442,1778249,1784599,1790907,1796080,1780319,1764262,1748630,1734393,1722143,1711968,1703366,1695549,1687423,1678092,1667196,1654664,1640260,1623877,1605507,1585235,1563160,1539475,1514565,1489006,1462999,1437157,1412892,1391716,1374430,1361313,1351699,1344157,1336787,1328204,1317871,1305915,1292525,1277675,1264331,1252531,1241829,1231492,1220571,1208413,1194955,1180418,1164823,1148269,1131006,1112850,1094264,1076985,1063307,1054935,1040327,1029768,1022193,1015921,1009717
"PRK",408,"Democratic People's Republic of  of Korea",2540228,2581528,2617220,2649383,2680635,2712732,2745571,2778673,2813001,2850033,2891035,2937333,2988827,3043670,3098858,3152162,3202072,3249437,3297064,3349112,3408382,3476154,3550726,3628493,3704541,3775582,3840129,3899522,3956620,4015345,4077831,4145679,4216561,4283792,4338232,4373680,4386203,4378550,4359492,4340700,4331584,4336243,4351219,4369115,4378713,4372004,4347278,4307986,4257542,4201360,4143967,4085069,4024799,3968567,3923010,3892183,3878817,3880007,3887143,3888329,3875086,3884025,3880782,3868747,3853532,3839244
